Bank,Deposit Coverage
commonwealth-bank-of-australia,0.32601264886186926
national-australia-bank-limited,0.2750766577790897
westpac-banking-corporation,4.555027540771142
macquarie-group-limited,Insufficient Information
anz-group-holdings-limited,0.38480250217990947
qbe-insurance-group-limited,Insufficient Information
suncorp-group-limited,Insufficient Information
insurance-australia-group-limited,Insufficient Information
australian-foundation-investment-company-limited,0.12784615384615383
argo-investments-limited,0.2352519929739224
bendigo-and-adelaide-bank-limited,0.1945323393757374
bank-of-queensland-limited,0.2231056533303152
nib-holdings-limited,Insufficient Information
amp-limited,Insufficient Information
aub-group-limited,Insufficient Information
